story_id,prediction,rationale
95,1,Backstory is consistent with the story narrative
136,1,Backstory is consistent with the story narrative
59,1,Backstory is consistent with the story narrative
60,1,Backstory is consistent with the story narrative
124,0,Foreshadowing of Relationships
111,0,Wisdom and Influence in the Post-Revolution Era
135,1,Backstory is consistent with the story narrative
27,1,Backstory is consistent with the story narrative
110,1,Backstory is consistent with the story narrative
42,1,Backstory is consistent with the story narrative
56,1,Backstory is consistent with the story narrative
80,1,Backstory is consistent with the story narrative
28,1,Backstory is consistent with the story narrative
101,1,Backstory is consistent with the story narrative
91,1,Backstory is consistent with the story narrative
24,1,Backstory is consistent with the story narrative
119,1,Backstory is consistent with the story narrative
93,1,Backstory is consistent with the story narrative
72,1,Backstory is consistent with the story narrative
16,1,Backstory is consistent with the story narrative
30,1,Backstory is consistent with the story narrative
97,1,Backstory is consistent with the story narrative
22,1,Backstory is consistent with the story narrative
53,1,Backstory is consistent with the story narrative
58,1,Backstory is consistent with the story narrative
81,1,Backstory is consistent with the story narrative
47,1,Backstory is consistent with the story narrative
7,1,Backstory is consistent with the story narrative
121,0,Life in Captivity Before Château d'If
129,0,The Origin of the Key Artifact
51,1,Backstory is consistent with the story narrative
127,1,Backstory is consistent with the story narrative
133,1,Backstory is consistent with the story narrative
52,1,Backstory is consistent with the story narrative
114,0,Early Academic Background
2,1,Backstory is consistent with the story narrative
33,1,Backstory is consistent with the story narrative
15,1,Backstory is consistent with the story narrative
82,1,Backstory is consistent with the story narrative
37,1,Backstory is consistent with the story narrative
3,1,Backstory is consistent with the story narrative
103,1,Backstory is consistent with the story narrative
94,1,Backstory is consistent with the story narrative
85,1,Backstory is consistent with the story narrative
21,1,Backstory is consistent with the story narrative
49,1,Backstory is consistent with the story narrative
140,0,Addendum to Character Relationships
64,1,Backstory is consistent with the story narrative
131,1,Backstory is consistent with the story narrative
61,1,Backstory is consistent with the story narrative
86,1,Backstory is consistent with the story narrative
38,1,Backstory is consistent with the story narrative
132,1,Backstory is consistent with the story narrative
77,1,Backstory is consistent with the story narrative
70,1,Backstory is consistent with the story narrative
115,0,Early Academic Background
78,1,Backstory is consistent with the story narrative
87,1,Backstory is consistent with the story narrative
75,1,Backstory is consistent with the story narrative
44,1,Backstory is consistent with the story narrative
